SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2006-07,23.0,DET,NBA,C,67.0,8.0,943.0,5.0,10.0,0.5,0.0,0.0,0.0,5.0,10.0,0.5,2.7,5.2,0.526,3.4,3.7,7.1,0.5,1.1,2.3,2.0,4.2,12.8,Jason Maxiell
2007-08,24.0,DET,NBA,C,82.0,7.0,1768.0,4.9,9.1,0.538,0.0,0.0,0.0,4.9,9.1,0.539,3.5,5.5,0.633,3.6,5.2,8.8,0.9,0.4,1.9,1.4,3.7,13.3,Jason Maxiell
2008-09,25.0,DET,NBA,C,78.0,4.0,1408.0,4.7,8.2,0.575,0.0,0.0,0.0,4.7,8.2,0.577,2.1,4.0,0.532,4.3,4.0,8.3,0.6,0.6,1.6,1.2,4.0,11.6,Jason Maxiell
2009-10,26.0,DET,NBA,C,76.0,29.0,1550.0,4.9,9.6,0.511,0.0,0.0,0.0,4.9,9.6,0.512,2.1,3.6,0.574,3.7,5.6,9.3,0.9,0.8,0.9,1.6,4.1,11.9,Jason Maxiell
2010-11,27.0,DET,NBA,PF,57.0,14.0,930.0,3.6,7.3,0.492,0.0,0.0,0.0,3.6,7.3,0.492,2.0,3.8,0.515,2.6,4.1,6.7,0.7,0.9,0.8,1.7,3.6,9.2,Jason Maxiell
2011-12,28.0,DET,NBA,PF,65.0,42.0,1466.0,4.5,9.4,0.478,0.0,0.0,0.0,4.5,9.4,0.48,1.4,2.6,0.547,3.1,5.1,8.2,1.0,0.8,1.2,1.7,3.7,10.4,Jason Maxiell
2012-13,29.0,DET,NBA,PF,72.0,71.0,1789.0,4.1,9.2,0.446,0.0,0.0,0.0,4.1,9.2,0.446,1.8,2.9,0.621,2.7,5.5,8.2,1.1,0.6,1.9,1.6,3.5,10.0,Jason Maxiell
2013-14,30.0,ORL,NBA,PF,34.0,13.0,488.0,3.5,7.7,0.448,0.0,0.0,0.0,3.5,7.7,0.448,1.1,2.3,0.484,2.1,4.3,6.3,0.7,0.6,1.5,1.0,3.5,8.0,Jason Maxiell
2014-15,31.0,CHO,NBA,PF,61.0,0.0,878.0,3.3,7.9,0.422,0.0,0.0,0.0,3.3,7.9,0.422,1.7,2.9,0.577,3.5,4.8,8.3,0.8,0.7,1.8,1.2,3.9,8.3,Jason Maxiell
2011-12,22.0,BOS,NBA,PG,38.0,0.0,331.0,4.7,12.3,0.381,1.8,4.9,0.378,2.8,7.4,0.382,0.8,0.8,1.0,0.4,3.2,3.6,3.7,1.2,0.3,2.3,3.6,12.0,E'Twaun Moore
2012-13,23.0,ORL,NBA,SG,75.0,21.0,1682.0,5.1,12.8,0.396,1.4,4.2,0.34,3.6,8.6,0.424,1.0,1.3,0.797,1.0,2.5,3.6,4.4,1.1,0.5,2.2,2.6,12.6,E'Twaun Moore
2013-14,24.0,ORL,NBA,SG,79.0,3.0,1506.0,4.7,10.9,0.428,1.4,3.8,0.354,3.3,7.1,0.468,1.2,1.6,0.765,0.7,2.6,3.3,2.7,1.4,0.3,1.3,2.5,11.9,E'Twaun Moore
2014-15,25.0,CHI,NBA,SG,56.0,0.0,504.0,4.4,9.9,0.446,0.9,2.7,0.342,3.5,7.2,0.485,0.9,1.4,0.6,0.9,2.4,3.3,2.4,1.4,0.4,1.0,3.2,10.6,E'Twaun Moore
2015-16,26.0,CHI,NBA,SG,59.0,22.0,1263.0,5.3,11.1,0.481,1.3,3.0,0.452,4.0,8.1,0.491,0.6,1.0,0.629,0.5,3.2,3.8,2.8,1.1,0.5,1.5,2.9,12.6,E'Twaun Moore
2016-17,27.0,NOP,NBA,SG,73.0,22.0,1820.0,5.6,12.2,0.457,1.5,4.1,0.37,4.1,8.1,0.501,1.1,1.5,0.77,0.7,2.4,3.0,3.2,1.0,0.6,1.2,2.6,13.8,E'Twaun Moore
2017-18,28.0,NOP,NBA,SG,82.0,80.0,2586.0,5.9,11.6,0.508,1.8,4.2,0.425,4.1,7.4,0.556,0.7,0.9,0.706,0.8,2.5,3.3,2.6,1.1,0.2,1.4,2.5,14.2,E'Twaun Moore
2018-19,29.0,NOP,NBA,SG,53.0,36.0,1463.0,6.3,13.1,0.481,1.9,4.3,0.432,4.4,8.8,0.506,1.1,1.5,0.763,0.9,2.3,3.1,2.5,1.0,0.2,1.5,2.8,15.6,E'Twaun Moore
2019-20,30.0,NOP,NBA,SG,56.0,6.0,1020.0,6.6,15.4,0.426,2.2,5.9,0.377,4.3,9.5,0.456,1.1,1.6,0.689,1.1,3.5,4.6,2.8,1.1,0.4,1.4,2.8,16.4,E'Twaun Moore
